Test Number, OperandA, OperandB, Result, Exception, Exp Result, Exp Exception
1,          1,          0,          0,z,          0,0
2,          0,          1,          0,z,          0,0
3,          1,          2,          2,z,          2,0
4,          2,         -4,          8,z,         -8,0
5,          4,          8,         48,z,         32,0
6,         -8,         16,       -128,z,       -128,0
7,         16,         32,        512,z,        512,0
8,         32,        -64,       2048,z,      -2048,0
9,         64,        128,      12288,z,       8192,0
10,       -128,        256,     -32768,z,     -32768,0
11,        256,        512,     131072,z,     131072,0
12,        512,      -1024,     524288,z,    -524288,0
13,       1024,       2048,    3145728,z,    2097152,0
14,      -2048,       4096,   -8388608,z,   -8388608,0
15,       4096,       8192,   33554432,z,   33554432,0
16,       8192,     -16384,  134217728,z, -134217728,0
17,      16384,      32768,  805306368,z,  536870912,0
18,     -32768,      65536,-2147483648,z,-2147483648,0
19,      65536,     131072,          0,z,          0,1
20,-2147483648,          2,          0,z,          0,1
